10/24/2020,Nazwa,Nazwa potoczna,Oznaczenie,,
156,e434,monopalmitynian polioksyetylenosorbitolu,Niebezpieczny,,
157,e435,monostearynian polioksyetylenosorbitolu,Niebezpieczny,,
158,e436,tristearynian polioksyetylenosorbitolu,Niebezpieczny,,
159,e440,pektyny,Nieszkodliwy,,
160,e442,fosfatydy amonu,Nieszkodliwy,,
161,e444,octan izomaślanu sacharozy,Nieszkodliwy,,
162,e450,difosforany,Zalecana ostrożność,,
163,e451,trifosforany,Nieszkodliwy,,
164,e452,polifosforany,Nieszkodliwy,,
165,e459,beta-cyklodekstryna,Nieszkodliwy,,
166,e460,celuloza,Nieszkodliwy,,
167,e461,metyloceluloza,Nieszkodliwy,,
168,e463,hydroksypropyloceluloza,Nieszkodliwy,,
169,e464,hydroksypropylometyloceluloza,Zalecana ostrożność,,
170,e465,etylometyloceluloza,Podejrzany,,
171,e466,karboksymetyloceluloza,Podejrzany,,
172,e468,sól sodowa karboksymetylocelulozy,Podejrzany,,
173,e469,enzymatycznie zhydrolizowana karboksymetyloceluloza,Niebezpieczny,,
174,e470a,"sole sodowe, wapniowe i potasowe kwasów tłuszczowych",Nieszkodliwy,,
175,e470b,sole magnezowe kwasów tłuszczowych,Nieszkodliwy,,
176,e471,mono i diglicerydy kwasów tłuszczowych,Nieszkodliwy,,
177,e472a,mono i diglicerydy k.t. estryfikowane k. octowym,Nieszkodliwy,,
178,e472b,mono i diglicerydy k.t. estryfikowane k. mlekowym,Nieszkodliwy,,
179,e472c,mono i diglicerydy k.t. estryfikowane k. cytrynowym,Nieszkodliwy,,
180,e472d,mono i diglicerydy k.t. estryfikowane k. winowym,Nieszkodliwy,,
181,e472e,mono i diglicerydy k.t. estryfikowane k. mono i diacetylowinowym,Nieszkodliwy,,
182,e472f,mono i diglicerydy k.t. estryfikowane mieszaniną k. cytrynowego i octowego,Nieszkodliwy,,
183,e473,estry kwasów tłuszczowych i sacharozy,Zalecana ostrożność,,
184,e474,sacharoglicerydy,Nieszkodliwy,,
185,e475,estry kwasów tłuszczowych i poliglicerolu,Nieszkodliwy,,
186,e476,polirycynooleinian,Nieszkodliwy,,
187,e477,estry kwasów tłuszczowych i glikolu propylenowego,Nieszkodliwy,,
188,e479b,termoutleniony olej sojowy,Nieszkodliwy,,
189,e481,stearyoilomleczan sodu,Nieszkodliwy,,
190,e482,stearyoilomleczan wapnia,Nieszkodliwy,,
191,e483,winian stearylu,Podejrzany,,
192,e491,monostearynian sorbitolu,Zalecana ostrożność,,
193,e492,tristearynian sorbitolu,Zalecana ostrożność,,
